"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 17/03/2024 19:37:40",

"Nombre del Indicador Clave: Eficiencia terminal en la enseñanza primaria",
"Definición: Es el porcentaje de alumnos que terminan la educación primaria, respecto a los alumnos de nuevo ingreso al primer grado de educación primaria cinco años antes.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",
"Próxima fecha de actualización: 23 de Octubre de 2024",


"Entidad federativa","2015","2016","2017","2018","2019","2020","2021",
"Nacional","98.26111","97.84117","97.45974","96.15883","96.03447","96.72545","96.09690"
"Aguascalientes","99.48262","99.35626","100.07392","97.48356","98.09545","100.23181","98.33755"
"Baja California","98.14218","98.66109","97.24271","98.01292","98.76864","100.17642","99.27973"
"Baja California Sur","100.85804","100.22020","101.06473","101.19988","101.44480","100.89693","100.91770"
"Campeche","97.12600","95.57463","95.45344","92.90948","92.72780","94.99509","94.89013"
"Coahuila de Zaragoza","98.00489","98.33659","99.06695","97.32727","97.75960","98.07359","99.20941"
"Colima","104.72692","98.76622","97.61600","91.93321","93.91699","95.10276","92.44448"
"Chiapas","95.16524","94.79580","94.79650","92.83203","92.61559","94.33084","97.04795"
"Chihuahua","97.12574","99.88062","97.52694","97.61851","99.30733","100.06265","98.30975"
"Ciudad de México","98.97006","96.48690","97.40903","94.05605","93.73268","94.42753","90.76606"
"Durango","98.18177","96.03335","95.33467","95.17021","95.17954","96.66245","94.46514"
"Guanajuato","98.85114","96.92807","96.81603","96.65978","97.29179","97.37805","96.88783"
"Guerrero","97.02454","97.46167","93.85728","91.53002","89.39594","91.91862","92.79148"
"Hidalgo","102.89174","102.91048","101.53272","101.10369","101.48433","101.36374","100.96689"
"Jalisco","96.40105","95.46034","96.37977","95.26851","94.83041","96.90785","95.94899"
"México","99.41544","99.41464","98.47468","97.13723","96.84956","96.48052","95.12438"
"Michoacán de Ocampo","94.29299","95.71484","95.53016","89.70445","89.06785","89.23151","89.85112"
"Morelos","96.52155","95.99525","95.84663","94.27973","94.96889","95.15927","94.00181"
"Nayarit","100.89731","99.37761","99.21260","97.29402","99.26859","98.65876","99.14953"
"Nuevo León","101.67270","103.10297","102.89772","101.94159","102.23368","102.95628","102.06407"
"Oaxaca","91.30149","88.39060","96.77985","98.48485","95.40324","92.68589","92.15127"
"Puebla","101.37346","100.71682","98.50321","97.89739","97.70748","98.06503","96.93452"
"Querétaro","104.51635","103.32476","102.97257","101.80708","103.44124","103.13082","101.61135"
"Quintana Roo","103.18851","104.09945","103.24802","103.91528","102.70135","103.13903","98.94885"
"San Luis Potosí","99.37760","99.05002","97.66198","96.65435","96.83686","98.50864","97.84934"
"Sinaloa","96.50663","96.17717","97.09227","96.36443","96.75575","97.83566","98.61268"
"Sonora","96.42384","95.14754","95.56714","95.05421","96.49885","97.55233","97.08505"
"Tabasco","97.72699","99.24818","96.29956","95.48089","94.17452","95.72093","96.54894"
"Tamaulipas","93.05967","94.56072","93.35393","95.60629","95.11055","96.95658","96.38036"
"Tlaxcala","100.77689","102.54729","101.28561","100.60201","99.91801","100.20492","98.73575"
"Veracruz de Ignacio de la Llave","99.11994","99.12267","95.87129","92.88161","92.64212","93.90028","94.35480"
"Yucatán","101.89037","97.61515","100.58461","97.25829","97.69962","98.92196","98.66198"
"Zacatecas","98.69542","96.48246","95.55813","95.36640","96.27202","97.47967","96.75270"

"Nota: Cifras revisadas para Baja california año 2017. Los valores de un trimestre a otro pueden variar debido a revisiones de la información y actualización de datos en serie histórica por parte de la fuente.",
"Responsable: SEP.  Dirección General de Planeación, Programación y Estadística Educativa.",
"Fuente: SEP.   Sistema de Estadísticas Continuas de Educación.  ",
